x,y,z
-1.0098114,4.6328735,9.042648
1.0619812,3.577835,9.160751
-0.4048767,3.4214172,9.176712
0.29423523,4.5897827,8.854294
0.8848114,4.1141357,8.677124
1.3492737,4.714279,7.9141693
2.5384064,4.235443,6.884674
3.7179413,3.644867,6.8479614
6.038727,4.283325,6.551071
6.47287,4.002411,7.861496
9.60289,5.8092346,7.7625427
21.75267,9.22496,9.559784
12.005081,-0.33110046,4.932602
-2.976242,-8.281448,5.4162292
-15.7948,-12.249435,5.499222
-10.045517,-34.405365,0.12663269
39.948593,-15.269318,20.613022
32.9272,8.84668,16.742386
24.72786,-3.8378143,7.7880707
4.251053,-12.659637,2.190445
-8.865982,-11.721115,0.57354736
-12.656799,-11.776978,2.3133392
-8.996857,0.2594757,-1.6881714
-10.181198,-1.137146,-0.98747253
-9.823654,-1.3414459,-0.6969757
-10.297714,-1.7723999,-0.8901062
-10.963303,-3.494629,-0.8757324
-6.7894135,-53.637207,-0.5325775
60.042343,-15.503952,8.373856
31.722122,3.3591614,13.61557
22.972107,-9.489716,9.465607
10.442459,-15.0841675,3.5615234
-9.5794525,-9.818512,1.6094513
-21.505768,-8.236755,3.465744
-7.6545105,2.214737,-0.8422241
-11.502792,-2.4124603,-0.14790344
-9.630524,-1.1403351,-0.6331177
-9.962524,-2.6518707,0.30540466
-9.951355,-6.3181915,2.0084686
-10.075851,-26.451843,3.5567322
12.67865,-21.74643,42.807266
6.943741,-8.120239,32.96231
23.411041,7.818756,17.278687
6.3276215,-4.9072113,-1.2157135
-4.404785,-6.5432434,5.885483
-17.850616,-8.798584,2.3276978
-11.962479,0.27064514,-0.31549072
-10.683975,0.042404175,0.27348328
-8.998459,1.5331879,-1.1758118
-10.318466,0.80215454,-2.1334991
-10.361557,-1.1147919,-0.16705322
-11.09259,-3.8457794,0.16334534
-1.4663086,-50.36194,8.496765
8.696289,-12.946945,19.671295
5.039551,-2.385315,26.413376
18.528473,-1.4946747,15.929962
10.937256,-3.2807617,2.7458954
-6.2898254,-2.0724792,2.7267303
-11.636871,-0.5178528,0.5256653
-9.378342,3.598587,-0.36657715
-7.3624268,5.0574493,-0.63790894
-8.270615,4.4205933,-1.0082245
-9.796524,2.1955872,-0.76719666
-14.833923,-8.172913,1.6317902
-3.1534119,-28.408707,0.63420105
3.6828308,-7.955826,29.377396
1.7403259,-0.42207336,30.196213
9.114471,2.0120392,19.947433
4.661255,1.7742004,5.2214966
-2.291504,1.9402008,0.40596008
-7.868393,3.1740112,-3.223648
-9.12616,4.4652863,-3.4566803
-8.546753,5.9832153,-4.1813354
3.5232086,2.8627625,16.819016
1.8424835,4.4190063,12.068909
1.378006,2.6185608,9.387405
1.2726593,4.280136,10.043411
-0.22131348,2.8627625,10.278046
0.7507324,5.022339,7.3571167
0.42990112,4.2657776,9.344315
0.97099304,4.5626526,8.693085
0.7220001,4.414215,8.5733795
0.9279022,4.778122,8.410568
1.0428162,4.6919403,8.444092
1.0619812,4.6584167,8.295654
1.401947,4.591385,8.875046
