x,y,z
-0.12730408,-0.15184021,-0.01864624
-0.12730408,-0.15184021,-0.01864624
-0.123687744,-0.37001038,-0.22114563
0.21208191,-0.33059692,-0.09309387
0.21208191,-0.33059692,-0.09309387
0.1711731,-0.57836914,-0.3023224
0.1711731,-0.57836914,-0.3023224
0.16030884,-1.3032837,0.13496399
-0.2930603,-1.1363525,0.38031006
-0.2930603,-1.1363525,0.38031006
-0.40075684,-0.050964355,0.32032776
-0.40075684,-0.050964355,0.32032776
1.7427673,-2.7142334,-1.8929749
2.1599274,-4.915924,-7.755234
2.1599274,-4.915924,-7.755234
0.12643433,-1.099823,-0.7088165
0.12643433,-1.099823,-0.7088165
-3.6847534,0.1464386,12.106735
1.1188354,-0.31280518,-2.8177185
1.1188354,-0.31280518,-2.8177185
2.0782166,-1.8323975,-9.312866
2.0782166,-1.8323975,-9.312866
0.5951538,-0.38534546,-3.141037
0.024490356,0.20097351,0.5380707
0.024490356,0.20097351,0.5380707
-0.040802002,-0.010696411,-0.04824829
-0.040802002,-0.010696411,-0.04824829
-0.2653656,-0.39982605,1.02948
-3.1828003,-0.29629517,13.429794
-3.1828003,-0.29629517,13.429794
0.7524872,0.23506165,-0.8005371
0.7524872,0.23506165,-0.8005371
2.9310608,-1.8291016,-9.055695
0.46784973,-1.3227844,-4.5926666
0.46784973,-1.3227844,-4.5926666
0.45751953,0.25828552,-0.0035095215
0.45751953,0.25828552,-0.0035095215
0.1547699,-0.012283325,-0.18791199
0.2137909,-0.25846863,0.0045776367
0.2137909,-0.25846863,0.0045776367
-5.2288666,5.67334,9.958633
-5.2288666,5.67334,9.958633
-3.1916504,-0.4376526,1.5984344
4.3348694,-6.463318,-6.5450897
4.3348694,-6.463318,-6.5450897
-0.8587189,-1.6483307,-5.419739
-0.8587189,-1.6483307,-5.419739
0.15838623,0.24230957,-0.1429596
0.02470398,0.03010559,-0.1421051
0.02470398,0.03010559,-0.1421051
0.023849487,-0.046279907,-0.3197937
0.023849487,-0.046279907,-0.3197937
-1.3070984,0.89894104,2.2082977
-9.63884,4.4298553,8.901138
-9.63884,4.4298553,8.901138
0.9314575,-2.7037964,-1.4845428
0.9314575,-2.7037964,-1.4845428
3.638504,-6.6118164,-7.5485687
-1.0436554,-0.7004547,-3.172882
-1.0436554,-0.7004547,-3.172882
-0.33088684,0.12214661,-0.010650635
-0.33088684,0.12214661,-0.010650635
0.29219055,0.030426025,-0.47573853
0.23797607,-0.2633667,0.13560486
0.23797607,-0.2633667,0.13560486
-6.4989777,8.380493,11.522537
-6.4989777,8.380493,11.522537
0.36909485,0.79315186,0.6129608
3.6899567,-5.8486633,-3.5346527
3.6899567,-5.8486633,-3.5346527
2.2052002,-0.9057312,-4.311859
2.2052002,-0.9057312,-4.311859
0.115249634,-0.4697113,-0.70158386
-4.8193817,3.0141296,3.3155365
-3.5403137,1.0609589,2.4896393
-3.5403137,1.0609589,2.4896393
0.21965027,0.112457275,0.5866394
0.05218506,0.49775696,0.3010559
0.05218506,0.49775696,0.3010559
0.9619293,-0.022094727,0.18429565
-0.23384094,-0.15513611,0.19207764
-0.23384094,-0.15513611,0.19207764
0.04335022,-0.05319214,-0.17086792
0.04335022,-0.05319214,-0.17086792
0.051116943,-0.059158325,-0.042617798
-0.02909851,-0.034347534,-0.021194458
