x,y,z
-31.736755,-26.834106,4.0985107
-31.736755,-25.708008,2.973938
-31.736755,-25.708008,2.973938
-29.637146,-29.15802,6.19812
-29.637146,-29.15802,6.19812
-29.562378,-28.633118,9.272766
-25.13733,-29.008484,15.122986
-25.13733,-29.008484,15.122986
-21.162415,-27.133179,22.24884
-21.162415,-27.133179,22.24884
-20.487976,-28.782654,22.24884
-16.662598,-23.983765,26.974487
-16.662598,-23.983765,26.974487
20.3125,1.5167236,31.62384
20.3125,1.5167236,31.62384
20.687866,32.266235,14.448547
18.588257,-14.15863,17.222595
18.588257,-14.15863,17.222595
-6.011963,-35.383606,16.473389
-6.011963,-35.383606,16.473389
29.386902,-0.28381348,22.099304
8.505249,35.231018,14.18457
8.505249,35.231018,14.18457
5.654907,37.330627,9.234619
5.654907,37.330627,9.234619
5.580139,38.08136,10.958862
7.8308105,36.280823,10.43396
7.8308105,36.280823,10.43396
21.554565,-5.194092,15.008545
21.554565,-5.194092,15.008545
-8.169556,-36.99341,10.661316
24.98169,-12.167358,19.960022
24.98169,-12.167358,19.960022
18.156433,33.207703,11.636353
18.156433,33.207703,11.636353
9.75647,38.381958,5.786133
7.4310303,37.782288,3.5354614
7.4310303,37.782288,3.5354614
5.5770874,38.438416,2.432251
5.5770874,38.438416,2.432251
24.02649,23.962402,10.307312
-13.548279,-37.312317,1.6830444
-13.548279,-37.312317,1.6830444
14.202881,-23.287964,20.057678
14.202881,-23.287964,20.057678
30.627441,26.586914,7.307434
16.001892,36.712646,7.608032
16.001892,36.712646,7.608032
16.227722,36.56311,5.583191
16.227722,36.56311,5.583191
15.402222,37.23755,5.657959
16.976929,35.586548,7.232666
16.976929,35.586548,7.232666
4.0771484,-24.111938,14.433289
4.0771484,-24.111938,14.433289
-16.63208,-34.524536,-3.3065796
26.11847,-15.473938,17.843628
26.11847,-15.473938,17.843628
32.868958,23.150635,5.093384
32.868958,23.150635,5.093384
26.342773,30.801392,8.694458
25.817871,29.675293,6.2942505
25.817871,29.675293,6.2942505
24.468994,32.826233,5.168152
24.468994,32.826233,5.168152
17.193604,-9.324646,13.043213
-20.306396,-34.14917,-8.106995
-20.306396,-34.14917,-8.106995
-4.10614,-31.373596,17.018127
-4.10614,-31.373596,17.018127
23.568726,-1.2237549,30.89447
25.968933,15.350342,25.344849
16.9693,-5.4992676,32.019043
16.9693,-5.4992676,32.019043
-14.0060425,-37.599182,12.818909
-20.457458,-35.64911,6.4437866
-20.457458,-35.64911,6.4437866
-23.980713,-32.94983,6.3690186
-23.980713,-32.94983,6.3690186
-25.482178,-32.724,8.769226
-26.905823,-31.599426,9.443665
-26.905823,-31.599426,9.443665
-26.531982,-31.074524,9.667969
-26.531982,-31.074524,9.667969
-24.58191,-31.973267,11.843872
-25.331116,-31.373596,10.868835
